sketch_S,|R|,|S|,|R_union_S|,|S_minus_R|,rho
GCA_047465605.1_ASM4746560v1_genomic_k31_w50_minimizers.hll,91752.2,2496.96,91752.2,0,0
GCA_003691695.1_ASM369169v1_genomic_k31_w50_minimizers.hll,91752.2,2486.48,91752.2,0,0
GCA_902729335.1_S607785_spades_genomic_k31_w50_minimizers.hll,91752.2,2570.5,91752.2,0,0
GCA_027947275.1_ASM2794727v1_genomic_k31_w50_minimizers.hll,91752.2,2450.44,91752.2,0,0
GCA_018002855.1_ASM1800285v1_genomic_k31_w50_minimizers.hll,91752.2,2065.95,91752.2,0,0
GCA_052102695.1_ASM5210269v1_genomic_k31_w50_minimizers.hll,91752.2,2434.19,91773.3,21.0663,0.00865431
GCA_950102055.1_S-thermophilus_H11bM2_genomic_k31_w50_minimizers.hll,91752.2,2443.48,91752.2,0,0
GCA_037076355.1_ASM3707635v1_genomic_k31_w50_minimizers.hll,91752.2,2513.28,91752.2,0.0159235,6.33574e-06
GCA_002860865.1_ASM286086v1_genomic_k31_w50_minimizers.hll,91752.2,2473.69,91752.2,0,0
GCA_004570525.1_ASM457052v1_genomic_k31_w50_minimizers.hll,91752.2,2426.07,91752.2,0,0
GCA_026157705.1_ASM2615770v1_genomic_k31_w50_minimizers.hll,91752.2,2421.44,91752.2,0,0
GCA_003469565.1_ASM346956v1_genomic_k31_w50_minimizers.hll,91752.2,2476.01,91752.2,0.00265391,1.07185e-06
GCA_946189075.1_B9_S31_genomic_k31_w50_minimizers.hll,91752.2,2491.14,91752.2,0,0
GCA_026161195.1_ASM2616119v1_genomic_k31_w50_minimizers.hll,91752.2,2514.44,91752.2,0,0
GCA_000191125.1_ASM19112v1_genomic_k31_w50_minimizers.hll,91752.2,2530.77,91759,6.79451,0.00268476
GCA_032478175.1_ASM3247817v1_genomic_k31_w50_minimizers.hll,91752.2,2534.27,91752.2,0,0
GCA_002096215.1_ASM209621v1_genomic_k31_w50_minimizers.hll,91752.2,2426.07,91752.2,0,0
GCA_047465075.1_ASM4746507v1_genomic_k31_w50_minimizers.hll,91752.2,2498.13,91752.2,0,0
GCA_053548035.1_ASM5354803v1_genomic_k31_w50_minimizers.hll,91752.2,2584.54,91752.3,0.0636939,2.46441e-05
GCA_031993685.1_ASM3199368v1_genomic_k31_w50_minimizers.hll,91752.2,2487.65,91760.5,8.23847,0.00331175
GCA_946223685.1_44P_genomic_k31_w50_minimizers.hll,91752.2,2463.22,91752.2,0,0
GCA_963508255.1_SRR8290085_bin.7_MetaWRAP_v1.3_MAG_genomic_k31_w50_minimizers.hll,91752.2,2278.31,91752.2,0,0
GCA_050315355.1_ASM5031535v1_genomic_k31_w50_minimizers.hll,91752.2,2458.58,91752.2,0.00265391,1.07945e-06
GCA_047460685.1_ASM4746068v1_genomic_k31_w50_minimizers.hll,91752.2,2496.96,91752.2,0,0
GCA_023931345.1_ASM2393134v1_genomic_k31_w50_minimizers.hll,91752.2,2423.76,91752.2,0,0
GCA_001937065.1_ASM193706v1_genomic_k31_w50_minimizers.hll,91752.2,2457.41,91754.9,2.71768,0.00110591
GCA_023926685.1_ASM2392668v1_genomic_k31_w50_minimizers.hll,91752.2,2445.8,91752.2,0,0
GCA_946189995.1_P55_S33_genomic_k31_w50_minimizers.hll,91752.2,2415.64,91752.2,0,0
GCA_002073815.2_ASM207381v2_genomic_k31_w50_minimizers.hll,91752.2,2524.94,91752.2,0,0
GCA_965111705.1_E22_genome_genomic_k31_w50_minimizers.hll,91752.2,2477.18,91752.5,0.297239,0.000119991
GCA_029011295.1_ASM2901129v1_genomic_k31_w50_minimizers.hll,91752.2,2455.09,91752.2,0,0
GCA_026781665.1_ASM2678166v1_genomic_k31_w50_minimizers.hll,91752.2,2534.27,91757.7,5.43685,0.00214533
