sketch_S,|R|,|S|,|R_union_S|,|S_minus_R|,rho
GCA_900076385.1_12045_5_10_genomic_k31_w50_minimizers.hll,7097.38,2867.99,7118.98,21.6046,0.00753301
GCA_023154175.1_ASM2315417v1_genomic_k31_w50_minimizers.hll,7097.38,2784.81,7097.38,0,0
GCA_049322075.1_ASM4932207v1_genomic_k31_w50_minimizers.hll,7097.38,2827.54,7097.38,0,0
GCA_023752605.1_ASM2375260v1_genomic_k31_w50_minimizers.hll,7097.38,2848.94,7103.55,6.16984,0.00216566
GCA_033726975.1_PDT001986207.1_genomic_k31_w50_minimizers.hll,7097.38,2840.61,7097.38,0,0
GCA_053365655.1_ASM5336565v1_genomic_k31_w50_minimizers.hll,7097.38,2835.86,7097.38,0,0
GCA_031511545.1_PDT001703682.1_genomic_k31_w50_minimizers.hll,7097.38,2776.52,7097.38,0,0
GCA_022543445.1_ASM2254344v1_genomic_k31_w50_minimizers.hll,7097.38,2995.96,7177.77,80.3897,0.0268327
GCA_033486475.1_ASM3348647v1_genomic_k31_w50_minimizers.hll,7097.38,2871.57,7097.38,0,0
GCA_027584615.1_ASM2758461v1_genomic_k31_w50_minimizers.hll,7097.38,2858.46,7097.38,0,0
GCA_034677525.1_PDT001704630.1_genomic_k31_w50_minimizers.hll,7097.38,2854.89,7100.46,3.08463,0.00108047
GCA_016771735.1_ASM1677173v1_genomic_k31_w50_minimizers.hll,7097.38,2803.79,7097.38,0,0
GCA_022544075.1_ASM2254407v1_genomic_k31_w50_minimizers.hll,7097.38,3010.37,7123.62,26.2379,0.00871582
GCA_033488455.1_ASM3348845v1_genomic_k31_w50_minimizers.hll,7097.38,2864.42,7105.09,7.71266,0.00269258
GCA_008364575.2_ASM836457v2_genomic_k31_w50_minimizers.hll,7097.38,2794.3,7097.38,0,0
GCA_025999975.1_ASM2599997v1_genomic_k31_w50_minimizers.hll,7097.38,2838.24,7097.38,0,0
GCA_033375835.1_ASM3337583v1_genomic_k31_w50_minimizers.hll,7097.38,2833.48,7135.98,38.5997,0.0136227
GCA_049321795.1_ASM4932179v1_genomic_k31_w50_minimizers.hll,7097.38,2847.75,7097.38,0,0
GCA_032515325.1_ASM3251532v1_genomic_k31_w50_minimizers.hll,7097.38,2835.86,7100.46,3.08463,0.00108772
GCA_051757025.1_ASM5175702v1_genomic_k31_w50_minimizers.hll,7097.38,2819.22,7097.38,0,0
GCA_031519585.1_PDT001702866.1_genomic_k31_w50_minimizers.hll,7097.38,2814.47,7097.38,0,0
GCA_050889595.1_PDT002802540.1_genomic_k31_w50_minimizers.hll,7097.38,2844.18,7097.38,0,0
GCA_030788105.1_PDT001706138.1_genomic_k31_w50_minimizers.hll,7097.38,2816.84,7097.38,0,0
GCA_033901785.1_ASM3390178v1_genomic_k31_w50_minimizers.hll,7097.38,2837.05,7097.38,0,0
GCA_037148515.1_ASM3714851v1_genomic_k31_w50_minimizers.hll,7097.38,2828.72,7097.38,0,0
GCA_050772195.1_ASM5077219v1_genomic_k31_w50_minimizers.hll,7097.38,2823.97,7097.38,0,0
GCA_026549655.1_PDT001505460.1_genomic_k31_w50_minimizers.hll,7097.38,2832.29,7097.38,0,0
GCA_036707995.1_ASM3670799v1_genomic_k31_w50_minimizers.hll,7097.38,2796.67,7098.92,1.54224,0.000551457
GCA_018394395.1_ASM1839439v1_genomic_k31_w50_minimizers.hll,7097.38,2783.63,7097.38,0,0
GCA_033031045.1_ASM3303104v1_genomic_k31_w50_minimizers.hll,7097.38,2813.28,7097.38,0,0
GCA_052189175.1_PDT002891765.1_genomic_k31_w50_minimizers.hll,7097.38,2848.94,7097.38,0,0
GCA_002264125.1_ASM226412v1_genomic_k31_w50_minimizers.hll,7097.38,2829.91,7097.38,0,0
GCA_052373555.1_ASM5237355v1_genomic_k31_w50_minimizers.hll,7097.38,2869.18,7098.92,1.54224,0.000537519
GCA_051371365.1_PDT002835690.1_genomic_k31_w50_minimizers.hll,7097.38,2837.05,7097.38,0,0
GCA_023151535.1_ASM2315153v1_genomic_k31_w50_minimizers.hll,7097.38,2784.81,7097.38,0,0
GCA_024451465.1_ASM2445146v1_genomic_k31_w50_minimizers.hll,7097.38,2787.18,7097.38,0,0
GCA_036708605.1_ASM3670860v1_genomic_k31_w50_minimizers.hll,7097.38,2809.72,7097.38,0,0
GCA_003986735.1_ASM398673v1_genomic_k31_w50_minimizers.hll,7097.38,2826.35,7097.38,0,0
GCA_053365235.1_ASM5336523v1_genomic_k31_w50_minimizers.hll,7097.38,2795.48,7097.38,0,0
GCA_049321975.1_ASM4932197v1_genomic_k31_w50_minimizers.hll,7097.38,2803.79,7097.38,0,0
GCA_014902595.1_ASM1490259v1_genomic_k31_w50_minimizers.hll,7097.38,2863.23,7129.8,32.4176,0.0113221
GCA_031511725.1_PDT001703672.1_genomic_k31_w50_minimizers.hll,7097.38,2826.35,7097.38,0,0
GCA_050770715.1_ASM5077071v1_genomic_k31_w50_minimizers.hll,7097.38,2795.48,7097.38,0,0
GCA_034105885.1_ASM3410588v1_genomic_k31_w50_minimizers.hll,7097.38,2788.37,7097.38,0,0
GCA_033375845.1_ASM3337584v1_genomic_k31_w50_minimizers.hll,7097.38,2870.37,7120.53,23.1489,0.00806476
GCA_030813275.1_PDT001705003.1_genomic_k31_w50_minimizers.hll,7097.38,2848.94,7097.38,0,0
GCA_029686165.1_PDT001259690.1_genomic_k31_w50_minimizers.hll,7097.38,2885.87,7097.38,0,0
GCA_037148455.1_ASM3714845v1_genomic_k31_w50_minimizers.hll,7097.38,2829.91,7097.38,0,0
GCA_023151565.1_ASM2315156v1_genomic_k31_w50_minimizers.hll,7097.38,2806.16,7097.38,0,0
GCA_030358685.1_ASM3035868v1_genomic_k31_w50_minimizers.hll,7097.38,2814.47,7097.38,0,0
GCA_022543955.1_ASM2254395v1_genomic_k31_w50_minimizers.hll,7097.38,2992.36,7135.98,38.5997,0.0128994
GCA_050196635.1_ASM5019663v1_genomic_k31_w50_minimizers.hll,7097.38,2787.18,7097.38,0,0
GCA_053049815.1_ASM5304981v1_genomic_k31_w50_minimizers.hll,7097.38,2819.22,7097.38,0,0
GCA_002185225.2_ASM218522v2_genomic_k31_w50_minimizers.hll,7097.38,2797.85,7097.38,0,0
GCA_032516625.1_ASM3251662v1_genomic_k31_w50_minimizers.hll,7097.38,2816.84,7097.38,0,0
GCA_036708335.1_ASM3670833v1_genomic_k31_w50_minimizers.hll,7097.38,2834.67,7097.38,0,0
GCA_053502875.1_ASM5350287v1_genomic_k31_w50_minimizers.hll,7097.38,2835.86,7097.38,0,0
